 0.037000, 0.106000, 0.042000, 0.039000, 0.038000, 0.037000, 0.039000, 0.037000, 0.038000, 0.040000, 0.038000, 0.038000, 0.038000, 0.038000, 0.038000, 0.039000, 0.039000, 0.038000, 0.037000, 0.038000, 0.038000, 0.037000, 0.038000, 0.040000, 0.043000, 0.039000, 0.041000, 0.039000, 0.038000, 0.037000,
 0.053000, 0.054000, 0.055000, 0.054000, 0.054000, 0.058000, 0.072000, 0.061000, 0.059000, 0.060000, 0.057000, 0.056000, 0.061000, 0.060000, 0.056000, 0.057000, 0.062000, 0.057000, 0.054000, 0.055000, 0.091000, 0.061000, 0.062000, 0.057000, 0.061000, 0.055000, 0.055000, 0.054000, 0.054000, 0.063000,
 0.080000, 0.076000, 0.076000, 0.076000, 0.074000, 0.074000, 0.077000, 0.078000, 0.239000, 0.076000, 0.078000, 0.077000, 0.078000, 0.077000, 0.076000, 0.075000, 0.074000, 0.086000, 0.077000, 0.079000, 0.079000, 0.082000, 0.086000, 0.146000, 0.086000, 0.085000, 0.091000, 0.076000, 0.077000, 0.073000,
 0.107000, 0.101000, 0.098000, 0.098000, 0.100000, 0.099000, 0.100000, 0.101000, 0.097000, 0.096000, 0.116000, 0.100000, 0.098000, 0.098000, 0.101000, 0.098000, 0.097000, 0.099000, 0.099000, 0.098000, 0.099000, 0.101000, 0.099000, 0.098000, 0.116000, 0.105000, 0.105000, 0.106000, 0.107000, 0.100000,
 0.126000, 0.154000, 0.144000, 0.139000, 0.127000, 0.134000, 0.143000, 0.148000, 0.181000, 0.125000, 0.123000, 0.127000, 0.130000, 0.151000, 0.161000, 0.134000, 0.129000, 0.131000, 0.124000, 0.123000, 0.122000, 0.123000, 0.124000, 0.126000, 0.132000, 0.135000, 0.122000, 0.123000, 0.121000, 0.136000,
 0.182000, 0.154000, 0.158000, 0.151000, 0.152000, 0.155000, 0.173000, 0.196000, 0.155000, 0.159000, 0.169000, 0.160000, 0.170000, 0.152000, 0.157000, 0.156000, 0.153000, 0.155000, 0.172000, 0.166000, 0.162000, 0.171000, 0.163000, 0.161000, 0.167000, 0.184000, 0.153000, 0.152000, 0.153000, 0.155000,
 0.187000, 0.188000, 0.189000, 0.184000, 0.184000, 0.192000, 0.188000, 0.182000, 0.185000, 0.196000, 0.194000, 0.210000, 0.190000, 0.203000, 0.203000, 0.233000, 0.317000, 0.194000, 0.187000, 0.188000, 0.190000, 0.191000, 0.188000, 0.189000, 0.186000, 0.185000, 0.188000, 0.187000, 0.188000, 0.253000,
 0.223000, 0.223000, 0.222000, 0.224000, 0.237000, 0.225000, 0.225000, 0.228000, 0.225000, 0.219000, 0.229000, 0.241000, 0.227000, 0.224000, 0.224000, 0.226000, 0.226000, 0.220000, 0.243000, 0.313000, 0.285000, 0.247000, 0.245000, 0.235000, 0.268000, 0.298000, 0.286000, 0.237000, 0.234000, 0.230000,
 0.292000, 0.277000, 0.279000, 0.504000, 0.338000, 0.275000, 0.265000, 0.275000, 0.268000, 0.274000, 0.276000, 0.266000, 0.269000, 0.309000, 0.267000, 0.272000, 0.317000, 0.282000, 0.271000, 0.267000, 0.267000, 0.269000, 0.267000, 0.265000, 0.271000, 0.320000, 0.263000, 0.272000, 0.377000, 0.268000,
 0.309000, 0.400000, 0.312000, 0.313000, 0.409000, 0.359000, 0.311000, 0.362000, 0.336000, 0.419000, 0.315000, 0.311000, 0.318000, 0.393000, 0.369000, 0.328000, 0.319000, 0.314000, 0.371000, 0.307000, 0.306000, 0.309000, 0.312000, 0.306000, 0.313000, 0.313000, 0.330000, 0.403000, 0.353000, 0.318000,
 0.362000, 0.361000, 0.356000, 0.417000, 0.359000, 0.365000, 0.395000, 0.389000, 0.415000, 0.382000, 0.360000, 0.449000, 0.362000, 0.399000, 0.397000, 0.375000, 0.414000, 0.356000, 0.352000, 0.364000, 0.364000, 0.361000, 0.357000, 0.372000, 0.361000, 0.358000, 0.371000, 0.362000, 0.350000, 0.361000,
